country,continent,population,day,time,Cases,Recovered,Deaths,Tests,Recovery_rate,Death_rate,Deaths per Million,Cases per 100K,Deaths_per_Million,Cases_per_100K,Tests_per_Person,Infection Rate,Tests per 100K
Madagascar,Africa,29178077.0,2024-06-30,2024-06-30T16:15:14+00:00,68486,66862.0,1426.0,531329.0,97.62871243757849,2.082177379318401,48.87230916554234,234.71731875956044,48.87230916554234,234.71731875956044,0.018209870376310267,0.23471731875956045,1820.9870376310266
Cabo-Verde,Africa,567678.0,2024-06-30,2024-06-30T16:15:14+00:00,64477,63755.0,417.0,401622.0,98.88022085394792,0.6467422491741242,734.571359115555,11358.023386497274,734.571359115555,11358.023386497274,0.7074820584909051,11.358023386497274,70748.2058490905
Sudan,Africa,45992020.0,2024-06-30,2024-06-30T16:15:14+00:00,63993,58947.0,5046.0,562941.0,92.11476255215413,7.885237447845858,109.71468528670843,139.139355044636,109.71468528670843,139.139355044636,0.012239971195002959,0.139139355044636,1223.9971195002959
Mauritania,Africa,4901981.0,2024-06-30,2024-06-30T16:15:14+00:00,63848,62471.0,997.0,1009957.0,97.84331537401329,1.561521112642526,203.38716123134708,1302.4938285154512,203.38716123134708,1302.4938285154512,0.20603037833071977,1.3024938285154513,20603.037833071976
Bhutan,Asia,787941.0,2024-06-30,2024-06-30T16:15:14+00:00,62697,61564.0,21.0,2303734.0,98.19289599183374,0.03349442557060146,26.651741691319526,7957.067851526954,26.651741691319526,7957.067851526954,2.923739213976681,7.957067851526954,292373.92139766813
Syria,Asia,19364809.0,2024-06-30,2024-06-30T16:15:14+00:00,57743,54578.0,3165.0,146269.0,94.51881613355731,5.481183866442685,163.44080646496437,298.18522867950827,163.44080646496437,298.18522867950827,0.007553340701682108,0.29818522867950825,755.3340701682108
Burundi,Africa,12624840.0,2024-06-30,2024-06-30T16:15:14+00:00,54721,53569.0,38.0,345742.0,97.8947753147786,0.06944317538056688,3.0099391358623158,433.43915645663634,3.0099391358623158,433.43915645663634,0.027385852018718654,0.43343915645663633,2738.5852018718656
Seychelles,Africa,99426.0,2024-06-30,2024-06-30T16:15:14+00:00,51220,51048.0,172.0,0.0,99.66419367434595,0.3358063256540414,1729.9297970349808,51515.70011868123,1729.9297970349808,51515.70011868123,0.0,51.51570011868123,0.0
Gabon,Africa,2331533.0,2024-06-30,2024-06-30T16:15:14+00:00,49051,48674.0,307.0,1621909.0,99.2314122036248,0.6258791869686653,131.67302371444026,2103.8089531651494,131.67302371444026,2103.8089531651494,0.6956405935493943,2.1038089531651494,69564.05935493944
Andorra,Europe,77463.0,2024-06-30,2024-06-30T16:15:14+00:00,48015,0.0,165.0,249838.0,0.0,0.3436426116838488,2130.0491847720846,61984.43127686767,2130.0491847720846,61984.43127686767,3.225255928636898,61.98443127686767,322525.59286368976
Papua-New-Guinea,Oceania,9292169.0,2024-06-30,2024-06-30T16:15:14+00:00,46864,46168.0,670.0,249149.0,98.51485148514851,1.4296688289518606,72.10372519053409,504.33865333271496,72.10372519053409,504.33865333271496,0.026812792578352805,0.5043386533327149,2681.2792578352805
Tanzania,Africa,63298550.0,2024-06-30,2024-06-30T16:15:14+00:00,43223,0.0,846.0,0.0,0.0,1.957291256969669,13.365235064626281,68.28434458609242,13.365235064626281,68.28434458609242,0.0,0.06828434458609242,0.0
Mauritius,Africa,1274727.0,2024-06-30,2024-06-30T16:15:14+00:00,43025,41278.0,1051.0,358675.0,95.93957001743173,2.442765833817548,824.4902634054193,3375.2325007629083,824.4902634054193,3375.2325007629083,0.2813739726231577,3.3752325007629085,28137.39726231577
Togo,Africa,8680837.0,2024-06-30,2024-06-30T16:15:14+00:00,39572,39281.0,290.0,815204.0,99.26463155766704,0.7328414030122309,33.40691686757855,455.8546600978685,33.40691686757855,455.8546600978685,0.09390845606247417,0.45585466009786846,9390.845606247416
Guinea,Africa,13865691.0,2024-06-30,2024-06-30T16:15:14+00:00,38572,37757.0,468.0,660107.0,97.8870683397283,1.2133153582909884,33.75237483656603,278.18303465727024,33.75237483656603,278.18303465727024,0.04760721986376301,0.27818303465727023,4760.721986376301
Lesotho,Africa,2175699.0,2024-06-30,2024-06-30T16:15:14+00:00,36138,25980.0,723.0,431221.0,71.89108417732028,2.0006641208699985,332.3069965100871,1660.983435668261,332.3069965100871,1660.983435668261,0.19819883173177907,1.6609834356682611,19819.883173177906
Haiti,North-America,11680283.0,2024-06-30,2024-06-30T16:15:14+00:00,34667,33734.0,860.0,132422.0,97.30867972423341,2.4807453774482937,73.6283530116522,296.7993155645287,73.6283530116522,296.7993155645287,0.011337225305243032,0.2967993155645287,1133.7225305243032
Faeroe-Islands,Europe,49233.0,2024-06-30,2024-06-30T16:15:14+00:00,34658,0.0,28.0,778000.0,0.0,0.08078942812626233,568.7242296833425,70395.87268701887,568.7242296833425,70395.87268701887,15.802408953344301,70.39587268701887,1580240.89533443
Mali,Africa,21473764.0,2024-06-30,2024-06-30T16:15:14+00:00,33164,32332.0,743.0,804909.0,97.49125557833796,2.2403811361717527,34.60036163198962,154.43962222924682,34.60036163198962,154.43962222924682,0.03748336807650489,0.15443962222924681,3748.336807650489
Saint-Lucia,North-America,185113.0,2024-06-30,2024-06-30T16:15:14+00:00,30215,29805.0,410.0,210983.0,98.64305808373325,1.3569419162667549,2214.8633537352857,16322.462495880893,2214.8633537352857,16322.462495880893,1.1397524755149557,16.32246249588089,113975.24755149557
Benin,Africa,12784726.0,2024-06-30,2024-06-30T16:15:14+00:00,28036,27847.0,163.0,604310.0,99.3258667427593,0.5813953488372093,12.749588845314323,219.29292813940637,12.749588845314323,219.29292813940637,0.04726812291479692,0.21929292813940635,4726.812291479692
Macao,Asia,667490.0,2024-06-30,2024-06-30T16:15:14+00:00,27673,3487.0,123.0,7850.0,12.600729953384166,0.44447656560546384,184.2724235569072,4145.829900073409,184.2724235569072,4145.829900073409,0.011760475812371721,4.145829900073409,1176.0475812371722
Micronesia,Oceania,117489.0,2024-06-30,2024-06-30T16:15:14+00:00,26547,0.0,65.0,82430.0,0.0,0.24484875880513807,553.243282349837,22595.30679467865,553.243282349837,22595.30679467865,0.701597596370724,22.595306794678653,70159.7596370724
San-Marino,Europe,34085.0,2024-06-30,2024-06-30T16:15:14+00:00,26185,26011.0,128.0,196855.0,99.33549742218828,0.488829482528165,3755.3175883819863,76822.64925920493,3755.3175883819863,76822.64925920493,5.775414405163562,76.82264925920494,577541.4405163561
Solomon-Islands,Oceania,721159.0,2024-06-30,2024-06-30T16:15:14+00:00,25954,0.0,199.0,0.0,0.0,0.7667411574323804,275.94469458191605,3598.9289463211303,275.94469458191605,3598.9289463211303,0.0,3.5989289463211303,0.0
French-Guiana,South-America,314169.0,2024-06-30,2024-06-30T16:15:13+00:00,98041,11254.0,420.0,651257.0,11.478871084546261,0.42839220326190064,1336.860097590787,31206.452578071036,1336.860097590787,31206.452578071036,2.0729511823254363,31.206452578071037,207295.11823254364
Channel-Islands,Europe,176463.0,2024-06-30,2024-06-30T16:15:13+00:00,101717,101321.0,228.0,1252808.0,99.61068454633936,0.22415132180461478,1292.0555583890107,57642.111944146935,1292.0555583890107,57642.111944146935,7.099550614009736,57.64211194414693,709955.0614009736
Kyrgyzstan,Asia,6728271.0,2024-06-30,2024-06-30T16:15:13+00:00,206897,196406.0,2991.0,1907195.0,94.92936098638452,1.44564686776512,444.5421416586817,3075.039634996866,444.5421416586817,3075.039634996866,0.2834598963091707,3.075039634996866,28345.98963091707
Fiji,Oceania,909466.0,2024-06-30,2024-06-30T16:15:13+00:00,69117,67226.0,885.0,672883.0,97.26405949332292,1.2804375189895394,973.0984995590819,7599.734349607353,973.0984995590819,7599.734349607353,0.7398660312754958,7.599734349607353,73986.60312754958
Suriname,South-America,596831.0,2024-06-30,2024-06-30T16:15:13+00:00,82588,0.0,1408.0,242207.0,0.0,1.7048481619605753,2359.1267879852085,13837.753065775738,2359.1267879852085,13837.753065775738,0.40582174853518,13.837753065775738,40582.174853518
Guadeloupe,North-America,399794.0,2024-06-30,2024-06-30T16:15:13+00:00,203235,0.0,1021.0,938039.0,0.0,0.5023740989494919,2553.8152148356403,50834.929988944314,2553.8152148356403,50834.929988944314,2.346305847511468,50.83492998894431,234630.58475114682
El-Salvador,North-America,6550389.0,2024-06-30,2024-06-30T16:15:13+00:00,201855,179410.0,4230.0,2610114.0,88.88063213692998,2.0955636471724755,645.7631752862311,3081.572712704543,645.7631752862311,3081.572712704543,0.39846702234019993,3.081572712704543,39846.70223401999
Trinidad-and-Tobago,North-America,1406585.0,2024-06-30,2024-06-30T16:15:13+00:00,191496,187078.0,4390.0,913289.0,97.69290220161257,2.2924760830513433,3121.0342780564274,13614.250116416712,3121.0342780564274,13614.250116416712,0.6492952789913159,13.614250116416713,64929.527899131586
Maldives,Asia,540985.0,2024-06-30,2024-06-30T16:15:13+00:00,186694,163687.0,316.0,2213831.0,87.67662592263275,0.16926092964958703,584.1197075704501,34510.01414087267,584.1197075704501,34510.01414087267,4.0922225200329025,34.51001414087267,409222.2520032903
Namibia,Africa,2633874.0,2024-06-30,2024-06-30T16:15:13+00:00,172389,167099.0,4106.0,1062663.0,96.93135872938528,2.381822506076374,1558.920434310829,6545.073910141487,1558.920434310829,6545.073910141487,0.4034600743999143,6.545073910141487,40346.00743999143
Uganda,Africa,48432863.0,2024-06-30,2024-06-30T16:15:13+00:00,172149,100431.0,3632.0,3012408.0,58.33957792377533,2.1098002311950697,74.99040475885145,355.438413789414,74.99040475885145,355.438413789414,0.062197603309141564,0.35543841378941404,6219.760330914156
Ghana,Africa,32395450.0,2024-06-30,2024-06-30T16:15:13+00:00,171889,170425.0,1462.0,2541625.0,99.14828755766803,0.8505489007440848,45.12979446187659,530.5961176646721,45.12979446187659,530.5961176646721,0.0784562338229597,0.5305961176646721,7845.62338229597
Jamaica,North-America,2985094.0,2024-06-30,2024-06-30T16:15:13+00:00,156869,0.0,3756.0,1183986.0,0.0,2.394354525113311,1258.2518339455976,5255.077394547709,1258.2518339455976,5255.077394547709,0.3966327358535443,5.255077394547709,39663.27358535443
